rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
165,momentum_long,ASML,1d,-0.1937,-0.1154,-0.0629,0.204,0.0,0.0,-0.0508,1,0.3498,-0.0539,-0.0539,-0.0539,203,False,True,False,0.0
166,alpha_composite,GOOG,1d,-0.436,-0.3474,-0.0443,0.2009,0.4421,0.8557,-0.1613,95,0.7061,-0.0025,0.2035,-0.1115,980,False,True,False,0.0
167,donchian_bo,AMZN,1d,-1.4016,-0.4502,-0.0164,0.0838,0.3,0.3482,-0.0791,70,0.1322,-0.0067,0.0414,-0.0692,1256,False,False,False,0.0
168,triple_screen,AMZN,1d,0.0164,0.0108,-0.002,0.1886,0.5941,1.0409,-0.01,101,0.3981,0.0006,0.1616,-0.1102,1256,False,False,False,0.0
169,zscore_reversion,AMZN,1d,0.0228,0.0154,-0.0008,0.1364,0.7018,0.9824,-0.0042,57,0.4618,-0.0003,0.1027,-0.2158,1256,False,False,False,0.0
170,macd_momentum,AVGO,1d,-0.2014,-0.1462,-0.0185,0.1472,0.3333,1.3282,-0.0888,60,0.5175,0.0083,0.389,-0.1123,1256,False,False,False,0.0
171,bb_reversion,AVGO,1d,-0.9836,-0.2266,-0.0642,0.2137,0.4667,0.3804,-0.1823,15,0.0548,-0.0133,0.0402,-0.0948,766,False,True,False,0.0
172,bb_reversion,ASML,1d,-0.8989,-0.2784,-0.1342,0.2059,0.5333,0.3791,-0.1976,15,0.1062,-0.0143,0.0428,-0.099,386,False,True,False,0.0
173,triple_screen,MA,1d,-0.2929,-0.1729,-0.0188,0.1601,0.5556,0.8365,-0.0904,108,0.3758,-0.0018,0.0515,-0.0976,1256,False,False,False,0.0
174,vwap_reversion,ASML,1d,-0.5135,-0.3466,-0.0687,0.2269,0.4419,0.5263,-0.2105,43,0.4726,-0.011,0.0845,-0.1522,838,False,True,False,0.0
175,ema_crossover,NOW,1d,-0.4322,-0.2825,-0.0127,0.1156,0.2333,0.619,-0.0619,30,0.5422,-0.0218,0.2879,-0.1799,1256,False,False,False,0.0
176,macd_momentum,NOW,1d,-0.2198,-0.1533,-0.0095,0.1188,0.3333,0.6993,-0.0462,54,0.5064,-0.011,0.2535,-0.1708,1256,False,False,False,0.0
177,donchian_bo,NOW,1d,-0.3963,-0.1267,-0.0057,0.0391,0.459,0.609,-0.0282,61,0.129,-0.0037,0.0442,-0.1179,1256,False,False,False,0.0
178,triple_screen,NOW,1d,-1.3471,-0.6666,-0.1085,0.2041,0.4333,0.4419,-0.1788,30,0.3118,-0.0131,0.0533,-0.1008,433,False,True,False,0.0
179,atr_breakout,NOW,1d,-0.4736,-0.3421,-0.0589,0.2049,0.2222,0.7098,-0.0982,27,0.5488,-0.0085,0.2032,-0.1624,430,False,True,False,0.0
180,triple_screen,GOOG,1d,-1.8483,-0.8174,-0.1076,0.2051,0.4167,0.285,-0.1925,36,0.2848,-0.0119,0.0272,-0.0578,474,False,True,False,0.0
181,donchian_bo,GOOG,1d,-0.5544,-0.1936,-0.0078,0.0484,0.3594,0.5729,-0.0383,64,0.1274,-0.0038,0.0688,-0.0624,1256,False,False,False,0.0
182,macd_momentum,GOOG,1d,-0.0347,-0.0257,-0.0032,0.1357,0.4286,0.8787,-0.0159,56,0.5354,-0.0025,0.1565,-0.1266,1257,False,False,False,0.0
183,vwap_reversion,META,1d,-1.1987,-0.7028,-0.19,0.2002,0.6364,0.5225,-0.1798,11,0.4412,-0.0119,0.0433,-0.2081,238,False,True,False,0.0
184,bb_reversion,META,1d,-0.1735,-0.0531,-0.0269,0.1778,0.4839,0.8067,-0.127,31,0.0748,-0.0034,0.1686,-0.0981,1256,False,False,False,0.0
185,rsi_reversion,META,1d,-0.0475,-0.0124,-0.0009,0.0353,0.6,1.2669,-0.0043,15,0.0573,0.0045,0.1325,-0.1188,1256,False,False,False,0.0
186,atr_breakout,META,1d,-1.6505,-1.0348,-0.2053,0.2033,0.1333,0.1888,-0.1758,15,0.6244,-0.0318,0.0966,-0.2854,213,False,True,False,0.0
187,triple_screen,META,1d,-1.5827,-0.6343,-0.0906,0.2007,0.3333,0.3196,-0.1503,21,0.2032,-0.0152,0.0658,-0.0722,433,False,True,False,0.0
188,donchian_bo,META,1d,-0.6802,-0.2362,-0.0135,0.0801,0.3289,0.4884,-0.0656,76,0.1449,-0.005,0.0917,-0.0459,1256,False,False,False,0.0
189,macd_momentum,META,1d,0.0244,0.0181,-0.0006,0.1525,0.4423,1.1647,-0.0029,52,0.5326,0.0048,0.4576,-0.2758,1256,False,False,False,0.0
190,alpha_composite,MSFT,1d,-0.3224,-0.2623,-0.0259,0.1945,0.4683,0.9503,-0.1226,126,0.6704,-0.0006,0.4038,-0.1493,1256,False,False,False,0.0
191,zscore_reversion,MSFT,1d,-0.2562,-0.1653,-0.0195,0.1841,0.6923,0.9924,-0.0935,52,0.4694,-0.0001,0.0486,-0.1537,1257,False,False,False,0.0
192,momentum_long,MSFT,1d,-0.4734,-0.2825,-0.0868,0.203,0.0,0.0,-0.0796,2,0.4069,-0.0512,-0.0259,-0.0765,231,False,True,False,0.0
193,donchian_bo,MSFT,1d,-1.4047,-0.5161,-0.0119,0.0588,0.2824,0.4145,-0.0579,85,0.1656,-0.0047,0.0367,-0.04,1256,False,False,False,0.0
194,bb_reversion,AAPL,1d,0.0399,0.0145,-0.0003,0.1642,0.5862,1.0299,-0.0016,29,0.0732,0.0003,0.0671,-0.0498,1256,False,False,False,0.0
195,momentum_long,AAPL,1d,-0.3879,-0.2661,-0.0494,0.2032,0.0,0.0,-0.0829,4,0.456,-0.0692,-0.0222,-0.133,432,False,True,False,0.0
196,triple_screen,AAPL,1d,-0.3853,-0.2353,-0.0271,0.2047,0.5698,0.834,-0.1019,86,0.3725,-0.0023,0.0811,-0.1111,988,False,True,False,0.0
197,momentum_long,NOW,1d,-0.7685,-0.354,-0.1967,0.2483,0.0,0.0,-0.1574,1,0.3333,-0.165,-0.165,-0.165,198,False,True,False,0.0
198,rsi_reversion,NOW,1d,-0.0035,-0.0007,-0.0001,0.0292,0.5625,1.2409,-0.0006,16,0.0502,0.0031,0.1129,-0.0707,1256,False,False,False,0.0
199,alpha_composite,NOW,1d,-0.9546,-0.7046,-0.0907,0.2001,0.4186,0.5827,-0.131,43,0.6971,-0.011,0.2026,-0.12,373,False,True,False,0.0
200,alpha_composite,TSLA,1d,-0.2478,-0.1748,-0.0577,0.2147,0.45,1.2691,-0.0634,20,0.7097,0.0082,0.4199,-0.1396,279,False,True,False,0.0
201,donchian_bo,MA,1d,-1.1167,-0.3481,-0.0062,0.0352,0.3103,0.4247,-0.0304,58,0.1178,-0.0045,0.0241,-0.052,1256,False,False,False,0.0
202,macd_momentum,MA,1d,-0.6658,-0.4292,-0.0248,0.1238,0.3462,0.7957,-0.1174,52,0.5457,-0.0045,0.143,-0.1281,1257,False,False,False,0.0
203,ema_crossover,MA,1d,-0.1257,-0.0862,-0.0022,0.0534,0.4167,0.8276,-0.0109,24,0.5669,-0.0048,0.179,-0.0961,1256,False,False,False,0.0
204,alpha_composite,V,1d,-0.9871,-0.6869,-0.0601,0.2,0.39,0.4693,-0.1935,100,0.608,-0.0056,0.0488,-0.0628,875,False,True,False,0.0
205,atr_breakout,V,1d,-0.3513,-0.2545,-0.0216,0.15,0.3457,0.7417,-0.1029,81,0.621,-0.0035,0.1827,-0.0628,1256,False,False,False,0.0
206,triple_screen,V,1d,-0.4144,-0.2367,-0.0246,0.1804,0.5686,0.805,-0.1168,102,0.3599,-0.0024,0.0714,-0.1078,1256,False,False,False,0.0
207,donchian_bo,V,1d,-1.4227,-0.4505,-0.0079,0.0397,0.3333,0.3205,-0.0388,66,0.1306,-0.0055,0.0397,-0.0486,1256,False,False,False,0.0
208,macd_momentum,V,1d,-0.2885,-0.1865,-0.0106,0.0817,0.3148,0.7914,-0.0516,54,0.5203,-0.0037,0.0928,-0.1296,1257,False,False,False,0.0
209,ema_crossover,V,1d,-0.3002,-0.2018,-0.0047,0.036,0.3571,0.7066,-0.0233,28,0.5613,-0.0079,0.1353,-0.1375,1256,False,False,False,0.0
210,rsi_reversion,NVO,1d,-0.0977,-0.0246,-0.0011,0.0272,0.4737,1.1228,-0.0056,19,0.0637,0.0012,0.0778,-0.0352,1256,False,False,False,0.0
211,atr_breakout,NVO,1d,0.0178,0.0132,-0.0035,0.2081,0.2615,1.0237,-0.0151,65,0.659,0.0005,0.2908,-0.2766,1085,False,True,False,0.0
212,triple_screen,NVO,1d,-0.2259,-0.1249,-0.0237,0.2013,0.549,0.8463,-0.109,102,0.3748,-0.0022,0.1065,-0.1632,1214,False,True,False,0.0
213,donchian_bo,NVO,1d,-0.8111,-0.2907,-0.0138,0.0827,0.3974,0.6409,-0.0669,78,0.1616,-0.0037,0.0822,-0.1075,1256,False,False,False,0.0
214,macd_momentum,NVO,1d,-0.4306,-0.266,-0.0359,0.2049,0.3404,0.7239,-0.1367,47,0.531,-0.0076,0.1993,-0.2169,1015,False,True,False,0.0
215,vwap_reversion,TSLA,1d,-0.4886,-0.3227,-0.0616,0.2111,0.5556,0.6043,-0.1032,27,0.5035,-0.0132,0.0881,-0.2419,433,False,True,False,0.0
216,triple_screen,PLTR,1d,-0.4532,-0.28,-0.0627,0.2037,0.4643,0.7741,-0.1158,28,0.2292,-0.007,0.099,-0.1989,480,False,True,False,0.0
217,zscore_reversion,TSLA,1d,-0.8164,-0.5376,-0.0928,0.2035,0.6471,0.3796,-0.1524,17,0.5012,-0.0315,0.0693,-0.4478,429,False,True,False,0.0
218,bb_reversion,TSLA,1d,-0.6336,-0.2055,-0.099,0.2301,0.3125,0.5484,-0.165,16,0.0938,-0.0104,0.1001,-0.073,437,False,True,False,0.0
219,triple_screen,TSLA,1d,-0.1185,-0.0659,-0.0239,0.2021,0.6275,0.9312,-0.0772,51,0.3568,-0.0019,0.1116,-0.1972,838,False,True,False,0.0
220,alpha_composite,CRWD,1d,-0.4306,-0.321,-0.0818,0.2067,0.4615,0.7341,-0.146,39,0.6381,-0.0075,0.1919,-0.2419,467,False,True,False,0.0
221,vwap_reversion,CRWD,1d,-1.1665,-0.6468,-0.1648,0.2065,0.6667,0.5064,-0.1356,9,0.4634,-0.0239,0.0509,-0.1976,205,False,True,False,0.0
222,zscore_reversion,CRWD,1d,-0.2766,-0.1727,-0.0302,0.2072,0.68,0.7632,-0.1387,50,0.4319,-0.0085,0.1548,-0.3525,1227,False,True,False,0.0
223,bb_reversion,CRWD,1d,-0.5637,-0.1458,-0.1194,0.2212,0.5833,0.5595,-0.1309,12,0.1147,-0.01,0.0408,-0.2333,279,False,True,False,0.0
224,atr_breakout,CRWD,1d,-0.565,-0.4299,-0.0893,0.2006,0.3478,0.5557,-0.1238,23,0.5686,-0.0143,0.1539,-0.0978,357,False,True,False,0.0
225,triple_screen,CRWD,1d,-1.2633,-0.6064,-0.1502,0.2022,0.3889,0.4436,-0.1914,18,0.2939,-0.0219,0.1166,-0.1133,330,False,True,False,0.0
226,donchian_bo,CRWD,1d,-0.2833,-0.1061,-0.007,0.0507,0.4118,0.6646,-0.0342,68,0.1385,-0.0035,0.0745,-0.0556,1256,False,False,False,0.0
227,alpha_composite,PLTR,1d,-0.7801,-0.5046,-0.1343,0.2051,0.3333,0.2861,-0.1067,12,0.5303,-0.0222,0.0956,-0.1423,198,False,True,False,0.0
228,vwap_reversion,PLTR,1d,-1.9265,-1.3114,-0.219,0.2372,0.4444,0.1544,-0.2372,9,0.556,-0.094,0.0499,-0.4297,277,False,True,False,0.0
229,zscore_reversion,PLTR,1d,-1.6865,-1.0948,-0.1684,0.2115,0.7778,0.2453,-0.1829,9,0.5776,-0.0736,0.0575,-0.4812,277,False,True,False,0.0
230,atr_breakout,PLTR,1d,-0.2803,-0.1701,-0.0557,0.2045,0.3462,0.7355,-0.102,26,0.4346,-0.0078,0.1636,-0.1456,474,False,True,False,0.0
231,alpha_composite,ETH/USDT,4h,-0.6464,-0.5231,-0.0324,0.1602,0.3701,0.6684,-0.1062,127,0.5535,-0.003,0.2398,-0.1466,860,False,True,False,0.0
